time,transnational_regions,realization,t2m
1951-08-01,8,0,291.14967540734466
1951-09-01,8,0,289.1132149973283
1951-10-01,8,0,282.7909721541022
1951-11-01,8,0,280.62833038549365
1951-12-01,8,0,276.64957470073637
1952-01-01,8,0,274.15936828961253
1952-02-01,8,0,274.5066090646502
1952-03-01,8,0,277.8384598628713
1952-04-01,8,0,282.01470621793794
1952-05-01,8,0,284.88506424823925
1952-06-01,8,0,289.65026953892436
1952-07-01,8,0,292.1150483534068
1952-08-01,8,0,292.05093801646456
1952-09-01,8,0,288.0717727962649
1952-10-01,8,0,284.25677839909866
1952-11-01,8,0,279.2533445214747
1952-12-01,8,0,276.78890743674623
1953-01-01,8,0,273.2726634402778
1953-02-01,8,0,274.209441990613
1953-03-01,8,0,275.9953233694283
1953-04-01,8,0,281.36075519591043
1953-05-01,8,0,285.1751065209955
1953-06-01,8,0,288.27589132660626
1953-07-01,8,0,291.37007067310435
1953-08-01,8,0,291.1075930519037
1953-09-01,8,0,288.47959512605485
1953-10-01,8,0,284.67079686003444
1953-11-01,8,0,278.7410878249857
1953-12-01,8,0,277.24219012251933
1954-01-01,8,0,272.21415342538313
1954-02-01,8,0,273.12351710038
1954-03-01,8,0,278.4472865793069
1954-04-01,8,0,279.7978914258929
1954-05-01,8,0,284.1632020146939
1954-06-01,8,0,289.07562256993174
1954-07-01,8,0,290.2924131162847
1954-08-01,8,0,290.1489262500136
1954-09-01,8,0,288.5997468880747
1954-10-01,8,0,283.8586161084517
1954-11-01,8,0,280.2302698633217
1954-12-01,8,0,276.96139783242774
1955-01-01,8,0,278.0530110090584
1955-02-01,8,0,277.31160308308284
1955-03-01,8,0,276.9800375969045
1955-04-01,8,0,280.1995483615723
1955-05-01,8,0,285.27671539416997
1955-06-01,8,0,288.6948924026643
1955-07-01,8,0,291.271165214307
1955-08-01,8,0,290.4724254075388
1955-09-01,8,0,287.88896494925825
1955-10-01,8,0,283.9981923337296
1955-11-01,8,0,279.59064436062476
1955-12-01,8,0,278.2613512301076
1956-01-01,8,0,276.26733914244016
1956-02-01,8,0,270.2386887116591
1956-03-01,8,0,276.55589121707237
1956-04-01,8,0,280.54683910343704
1956-05-01,8,0,284.7192071698091
1956-06-01,8,0,287.5305685065939
1956-07-01,8,0,290.6592725220978
1956-08-01,8,0,291.1489291087459
1956-09-01,8,0,288.29984049547204
1956-10-01,8,0,282.944648683333
1956-11-01,8,0,277.9080362413016
1956-12-01,8,0,274.96426094924135
