Real,Predicho,Producto,Año,Error_Absoluto,Error_Porcentual,Region
12160.00000000001,10103.559522660324,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1981,2056.4404773396855,16.911517083385558,No asignado
11784.999999999995,12068.638643959826,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1982,283.6386439598318,2.4067767837066776,No asignado
7391.000000000001,11792.482419612643,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1983,4401.482419612642,59.551920167942654,No asignado
6093.999999999999,7596.266288850267,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1984,1502.2662888502682,24.651563650316188,No asignado
6395.000000000001,7526.58328282143,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1985,1131.5832828214288,17.694812866636884,No asignado
6718.999999999995,6769.697536831284,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1986,50.697536831288744,0.7545399141433067,No asignado
6799.999999999996,6856.426783462219,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1987,56.426783462222375,0.8298056391503295,No asignado
6516.000000000002,6961.620191642031,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1988,445.62019164202957,6.838861136311072,No asignado
6907.0,6287.531317193464,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1989,619.468682806536,8.968708307608745,No asignado
7399.999999999995,7017.087011005997,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1990,382.9129889939986,5.174499851270255,No asignado
7321.999999999997,7259.677082833113,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1991,62.32291716688451,0.8511734111838914,No asignado
6508.999999999999,7557.576110322589,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1992,1048.5761103225896,16.109634511024577,No asignado
6204.0,6562.280928048803,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1993,358.2809280488027,5.774998840245047,No asignado
7453.999999999998,6672.850275283211,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1994,781.1497247167872,10.47960457092551,No asignado
8820.000000000004,6608.444569323405,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1995,2211.555430676599,25.074324610845782,No asignado
6074.999999999997,8362.459814841479,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1996,2287.4598148414816,37.6536595035635,No asignado
6299.999999999997,8016.376157666592,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1997,1716.3761576665947,27.244065994707867,No asignado
6120.000000000001,6483.734938947785,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1998,363.73493894778403,5.943381355355947,No asignado
8117.999999999998,6666.68401348558,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",1999,1451.315986514418,17.877752975048267,No asignado
6000.000000000005,10151.296154103,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",2000,4151.296154102995,69.18826923504987,No asignado
7714.9999999999945,6607.522484809249,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",2001,1107.4775151907452,14.354860857948747,No asignado
8000.0000000000055,6944.6623307548325,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",2002,1055.337669245173,13.191720865564651,No asignado
6999.999999999998,7495.803762268745,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",2003,495.80376226874705,7.082910889553531,No asignado
7364.879999999996,8065.642448240248,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",2004,700.7624482402525,9.51492011058229,No asignado
8000.0000000000055,7047.61311747456,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",2005,952.3868825254458,11.904836031568063,No asignado
9500.000000000005,7989.8637079516775,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",2006,1510.136292048328,15.896171495245548,No asignado
10000.00000000001,10006.255215369574,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",2007,6.255215369565121,0.06255215369565116,No asignado
8182.949999999996,10765.04531813085,"Raíces y tubérculos comestibles con alto contenido en almidón o inulina, frescos n.c.p.",2008,2582.0953181308532,31.554577727235955,No asignado
