Año,Producto,Produccion_Real,Produccion_Predicha,Area_Cosechada,Rendimiento,Error_Absoluto,Error_Porcentual
1994,Albaricoques,200200.0,199882.13478328247,23400.0,8555.6,317.86521671753144,0.1587738345242415
1995,Albaricoques,138700.0,164086.03360521857,22500.0,6164.4,25386.033605218574,18.302836052789168
1996,Albaricoques,197800.0,189626.74017560144,23300.0,8489.3,8173.259824398556,4.132082823255083
1997,Albaricoques,141915.0,165955.98441710512,24474.0,5798.6,24040.984417105123,16.940411103199185
1998,Albaricoques,149800.0,132968.92478889605,25018.0,5987.7,16831.075211103947,11.23569773771959
1999,Albaricoques,148924.0,152515.0501421986,24777.0,6010.6,3591.0501421985973,2.411330707071122
2000,Albaricoques,142498.0,146296.4331196824,23487.0,6067.1,3798.4331196823914,2.6656045135246753
2001,Albaricoques,134767.0,136459.84153738635,20787.0,6483.2,1692.8415373863536,1.2561246724987227
2002,Albaricoques,127549.0,134061.25786732632,21061.0,6056.2,6512.25786732632,5.105691042129942
2003,Albaricoques,143840.0,136470.34209194113,20686.0,6953.5,7369.657908058871,5.1235107814647325
2004,Albaricoques,121486.0,134726.56765570556,19858.0,6117.7,13240.567655705556,10.898842381595868
2005,Albaricoques,137167.0,133033.31866360325,19249.0,7125.9,4133.681336396752,3.0136121198223713
2006,Albaricoques,156872.0,144651.88891600052,18150.0,8643.1,12220.11108399948,7.789861214238028
2007,Albaricoques,89023.0,129676.04044875459,18338.0,4854.6,40653.04044875459,45.66577227093514
2008,Albaricoques,109108.0,120163.50661445428,18834.0,5793.1,11055.50661445428,10.13262695169399
2009,Albaricoques,95221.0,101815.75504828029,19226.0,4952.7,6594.755048280291,6.925735970300974
2010,Albaricoques,78715.0,91785.43952762787,18333.0,4293.6,13070.439527627866,16.60476342200072
2011,Albaricoques,86880.0,86627.36376011676,18729.0,4638.8,252.63623988324252,0.29078756892638413
2012,Albaricoques,118114.0,93580.27975285683,18542.0,6370.1,24533.720247143166,20.77122123299792
2013,Albaricoques,131800.0,120695.3980057988,20300.0,6492.6,11104.601994201206,8.425342939454634
2014,Albaricoques,136446.0,132783.2861354364,18451.0,7395.0,3662.713864563586,2.684368808586244
2015,Albaricoques,153667.0,145273.22101403476,18822.0,8164.2,8393.77898596524,5.4623172092675985
2016,Albaricoques,139605.0,148312.98078653123,20353.0,6859.2,8707.980786531232,6.237585177129209
2017,Albaricoques,162872.0,154395.89513160067,21002.0,7755.1,8476.104868399329,5.204151031730026
2018,Albaricoques,176290.0,183839.0868608609,20570.0,8570.2,7549.086860860902,4.282198003778377
2019,Albaricoques,145830.0,146883.1444468948,20240.0,7205.0,1053.1444468947884,0.722172698960974
2020,Albaricoques,128700.0,155661.79204450952,19780.0,6506.6,26961.792044509522,20.949333367917266
2021,Albaricoques,114720.0,123252.89525267761,19440.0,5901.2,8532.895252677612,7.438018874370303
2022,Albaricoques,80870.0,97059.80661762347,18430.0,4388.0,16189.806617623472,20.019545712406913
2023,Albaricoques,108450.0,111927.28973962211,18010.0,6021.7,3477.2897396221088,3.206352918047126
1963,Alcachofas,125000.0,98386.99831963946,12185.0,10258.5,26613.00168036054,21.29040134428843
1964,Alcachofas,109000.0,122702.2752822258,13062.0,8344.8,13702.275282225804,12.570894754335601
1965,Alcachofas,124000.0,121281.50286050972,14159.0,8757.7,2718.4971394902823,2.192336402814744
