Año,Producto,Produccion_Real,Produccion_Predicha,Area_Cosechada,Rendimiento,Error_Absoluto,Error_Porcentual
1966,"Ajíes y pimientos, verdes (capsicum y pimenta)",361700.0,371469.4463300273,22700.0,15933.9,9769.446330027306,2.7009804617161475
1967,"Ajíes y pimientos, verdes (capsicum y pimenta)",384100.0,367540.1562075883,23500.0,16344.7,16559.843792411673,4.31133657704027
1968,"Ajíes y pimientos, verdes (capsicum y pimenta)",392200.0,362962.9582564656,23500.0,16689.4,29237.041743534384,7.4546256357813325
1969,"Ajíes y pimientos, verdes (capsicum y pimenta)",372100.0,392519.7219874211,22265.0,16712.3,20419.7219874211,5.487697389793362
1970,"Ajíes y pimientos, verdes (capsicum y pimenta)",394500.0,367540.1562075883,24200.0,16301.7,26959.843792411673,6.833927450547953
1971,"Ajíes y pimientos, verdes (capsicum y pimenta)",384300.0,393874.84891549154,23600.0,16283.9,9574.848915491544,2.4915037511037066
1972,"Ajíes y pimientos, verdes (capsicum y pimenta)",439800.0,371469.4463300273,27700.0,15877.3,68330.5536699727,15.536733440193881
1973,"Ajíes y pimientos, verdes (capsicum y pimenta)",544500.0,425393.2922657323,31200.0,17451.9,119106.7077342677,21.87451014403447
1974,"Ajíes y pimientos, verdes (capsicum y pimenta)",456800.0,485179.3180229308,27800.0,16431.7,28379.31802293082,6.212635293986607
1975,"Ajíes y pimientos, verdes (capsicum y pimenta)",460000.0,483650.6997094209,27700.0,16606.5,23650.699709420907,5.141456458569762
1976,"Ajíes y pimientos, verdes (capsicum y pimenta)",492000.0,486722.4667227175,29700.0,16565.7,5277.533277282491,1.0726693653013195
1977,"Ajíes y pimientos, verdes (capsicum y pimenta)",480900.0,493771.56795527006,28800.0,16697.9,12871.56795527006,2.6765581108900105
1978,"Ajíes y pimientos, verdes (capsicum y pimenta)",522400.0,493771.56795527006,29000.0,18013.8,28628.43204472994,5.480174587429162
1979,"Ajíes y pimientos, verdes (capsicum y pimenta)",538300.0,503414.9251275641,28600.0,18821.7,34885.074872435885,6.480600942306499
1980,"Ajíes y pimientos, verdes (capsicum y pimenta)",551400.0,525106.1819097012,26900.0,20498.1,26293.818090298795,4.768556055549292
1981,"Ajíes y pimientos, verdes (capsicum y pimenta)",549800.0,526255.1305741661,26700.0,20591.8,23544.869425833924,4.282442602006898
1982,"Ajíes y pimientos, verdes (capsicum y pimenta)",579400.0,526879.557326092,27600.0,20992.8,52520.442673907964,9.064625936124951
1983,"Ajíes y pimientos, verdes (capsicum y pimenta)",601700.0,576116.5109408298,25700.0,23412.5,25583.489059170242,4.251867884189836
1984,"Ajíes y pimientos, verdes (capsicum y pimenta)",635058.0,583527.3287427158,27360.0,23211.2,51530.67125728424,8.114325188767678
1985,"Ajíes y pimientos, verdes (capsicum y pimenta)",670552.0,624478.3631708317,26284.0,25511.8,46073.6368291683,6.871001328631979
1986,"Ajíes y pimientos, verdes (capsicum y pimenta)",692800.0,676760.110921618,27200.0,25470.6,16039.889078382053,2.315226483600181
1987,"Ajíes y pimientos, verdes (capsicum y pimenta)",700200.0,715722.9796260897,27100.0,25837.6,15522.979626089684,2.2169351079819597
1988,"Ajíes y pimientos, verdes (capsicum y pimenta)",724200.0,724913.9946565634,25400.0,28511.8,713.9946565633873,0.09859081145586679
1989,"Ajíes y pimientos, verdes (capsicum y pimenta)",795400.0,722419.930010239,27400.0,29029.2,72980.06998976099,9.175266531274955
1990,"Ajíes y pimientos, verdes (capsicum y pimenta)",900500.0,797662.8094291516,28400.0,31707.7,102837.19057084841,11.420010057839912
1991,"Ajíes y pimientos, verdes (capsicum y pimenta)",731600.0,814674.1988747085,25900.0,28247.1,83074.1988747085,11.355139266635934
1992,"Ajíes y pimientos, verdes (capsicum y pimenta)",755300.0,813343.9250685772,26400.0,28609.8,58043.92506857717,7.684883499083433
1993,"Ajíes y pimientos, verdes (capsicum y pimenta)",733800.0,738225.6762332806,25200.0,29119.0,4425.6762332805665,0.6031175024912192
1994,"Ajíes y pimientos, verdes (capsicum y pimenta)",742600.0,740774.3081702607,24500.0,30310.2,1825.691829739255,0.24585131022613183
1995,"Ajíes y pimientos, verdes (capsicum y pimenta)",790500.0,733963.7690755404,22900.0,34519.7,56536.23092445964,7.15195837121564
1996,"Ajíes y pimientos, verdes (capsicum y pimenta)",867700.0,799468.0341207733,23200.0,37400.9,68231.96587922669,7.8635433766539915
1997,"Ajíes y pimientos, verdes (capsicum y pimenta)",893275.0,799468.0341207733,22856.0,39082.7,93806.96587922669,10.501465492622842
1998,"Ajíes y pimientos, verdes (capsicum y pimenta)",890070.0,836161.274411728,22350.0,39824.2,53908.72558827198,6.05668381006797
1999,"Ajíes y pimientos, verdes (capsicum y pimenta)",924100.0,875805.4748574931,22600.0,40889.4,48294.52514250693,5.22611461340839
2000,"Ajíes y pimientos, verdes (capsicum y pimenta)",946762.0,880595.2690434122,23204.0,40801.7,66166.73095658782,6.988739615298019
2001,"Ajíes y pimientos, verdes (capsicum y pimenta)",979151.0,917977.1633190527,22786.0,42971.6,61173.83668094734,6.247640729667573
2002,"Ajíes y pimientos, verdes (capsicum y pimenta)",1056184.0,922081.856204803,21964.0,48087.1,134102.14379519701,12.696854316596069
2003,"Ajíes y pimientos, verdes (capsicum y pimenta)",1056181.0,983195.6550016563,22388.0,47176.2,72985.34499834373,6.910306566615356
2004,"Ajíes y pimientos, verdes (capsicum y pimenta)",1077025.0,990257.732648172,22895.0,47041.9,86767.26735182805,8.056198078208775
2005,"Ajíes y pimientos, verdes (capsicum y pimenta)",1060362.0,1000332.6974755162,23672.0,44793.9,60029.30252448376,5.6612083915194775
2006,"Ajíes y pimientos, verdes (capsicum y pimenta)",1147774.0,996007.8598456992,23699.0,48431.3,151766.14015430084,13.22265011703531
2007,"Ajíes y pimientos, verdes (capsicum y pimenta)",1057533.0,1045301.0207160511,21798.0,48515.1,12231.979283948895,1.156652254251063
2008,"Ajíes y pimientos, verdes (capsicum y pimenta)",918140.0,998257.3305708718,18861.0,48679.3,80117.33057087183,8.726047288090252
2009,"Ajíes y pimientos, verdes (capsicum y pimenta)",932191.0,946792.4448909992,19099.0,48808.4,14601.444890999235,1.5663576338968337
2010,"Ajíes y pimientos, verdes (capsicum y pimenta)",875657.0,920054.6762100777,18139.0,48274.8,44397.67621007771,5.070213132548214
2011,"Ajíes y pimientos, verdes (capsicum y pimenta)",921089.0,875805.4748574931,17739.0,51924.5,45283.52514250693,4.916302891740855
2012,"Ajíes y pimientos, verdes (capsicum y pimenta)",970296.0,877929.5023838634,17440.0,55636.2,92366.49761613656,9.519414448388591
2013,"Ajíes y pimientos, verdes (capsicum y pimenta)",999600.0,917139.4728047973,18100.0,55226.5,82460.52719520265,8.249352460504467
2014,"Ajíes y pimientos, verdes (capsicum y pimenta)",1130340.0,963850.3370705548,18513.0,61056.6,166489.66292944516,14.72916670465923
2015,"Ajíes y pimientos, verdes (capsicum y pimenta)",1102522.0,1032345.1274425499,18263.0,60369.2,70176.87255745009,6.365122197783816
